label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,stress_scenario,stress_description,scenario,description,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier,stress_cost_multiplier,stress_entry_delay_bars,stress_exit_delay_bars,stress_entry_price_penalty,stress_exit_price_penalty
baseline,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,9627258.388355836,961.7258388355837,+96172.58%,12.682212146110261,+1268.22%,949.0436266894734,+94904.36%,0.5470960440783963,+54.71%,-0.5586962091162317,-55.87%,1.1677167162931574,1.17,0.9792370793849039,0.98,0.6993006993006993,+69.93%,1.4389508946475045,1.44,143,baseline,Current fee/slippage,baseline,Current fee/slippage,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,,,,
cost_2x,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,6290618.668895824,628.0618668895823,+62806.19%,12.682212146110261,+1268.22%,615.3796547434721,+61537.97%,0.5058366722645251,+50.58%,-0.5756307813265727,-57.56%,1.1089911938311143,1.11,0.8787519512052443,0.88,0.6923076923076923,+69.23%,1.4127315677676533,1.41,143,cost_2x,Fee/slippage multiplied by 2,cost_2x,Fee/slippage multiplied by 2,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,2.0,,,,
cost_3x,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,4100690.847776587,409.0690847776587,+40906.91%,12.682212146110261,+1268.22%,396.38687263154844,+39638.69%,0.46545748202746107,+46.55%,-0.591806980151803,-59.18%,1.0498145622340995,1.05,0.7865021833775392,0.79,0.6853146853146853,+68.53%,1.3864528672345193,1.39,143,cost_3x,Fee/slippage multiplied by 3,cost_3x,Fee/slippage multiplied by 3,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,3.0,,,,
cost_5x,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,1290495.0993470794,128.04950993470794,+12804.95%,12.682212146110261,+1268.22%,115.36729778859768,+11536.73%,0.361692090533996,+36.17%,-0.6238159047911069,-62.38%,0.8922877721049228,0.89,0.5798058173189947,0.58,0.6267605633802817,+62.68%,1.542369435417307,1.54,142,cost_5x,Fee/slippage multiplied by 5,cost_5x,Fee/slippage multiplied by 5,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,5.0,,,,
entry_delay_1d,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,67093.3142571843,5.709331425718431,+570.93%,12.682212146110261,+1268.22%,-6.972880720391831,-697.29%,0.12852738809323694,+12.85%,-0.42657994756908535,-42.66%,0.6145737776313894,0.61,0.30129730388328135,0.30,0.6,+60.00%,1.6353912728045952,1.64,70,entry_delay_1d,Buy execution delayed by one extra trading session,entry_delay_1d,Buy execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,1.0,,,
exit_delay_1d,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,2006766.8712751116,199.67668712751114,+19967.67%,12.682212146110261,+1268.22%,186.99447498140088,+18699.45%,0.4004209815616995,+40.04%,-0.5204052145130098,-52.04%,1.0585359207942564,1.06,0.7694407557703079,0.77,0.6338028169014085,+63.38%,1.7535484819871336,1.75,142,exit_delay_1d,Sell execution delayed by one extra trading session,exit_delay_1d,Sell execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,,1.0,,
entry_exit_delay_1d,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,61754.38434556975,5.175438434556975,+517.54%,12.682212146110261,+1268.22%,-7.506773711553286,-750.68%,0.12259885132867243,+12.26%,-0.46490774385344114,-46.49%,0.5867509693316354,0.59,0.26370576302407395,0.26,0.5428571428571428,+54.29%,1.9820985495798635,1.98,70,entry_exit_delay_1d,Buy and sell execution delayed by one extra trading session,entry_exit_delay_1d,Buy and sell execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,1.0,1.0,,
entry_open_worse_0p5pct,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,3938252.025033342,392.8252025033342,+39282.52%,12.682212146110261,+1268.22%,380.14299035722394,+38014.30%,0.4616998157144392,+46.17%,-0.5576457197580074,-55.76%,1.04615547848042,1.05,0.8279446956300421,0.83,0.6830985915492958,+68.31%,1.3761446306043652,1.38,142,entry_open_worse_0p5pct,Buy fills 0.5% worse than open,entry_open_worse_0p5pct,Buy fills 0.5% worse than open,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,,,0.005,
exit_open_worse_0p5pct,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,4771560.120427321,476.1560120427321,+47615.60%,12.682212146110261,+1268.22%,463.4737998966218,+46347.38%,0.47963013273489796,+47.96%,-0.5860655683103864,-58.61%,1.069741695516299,1.07,0.8183898844589363,0.82,0.6923076923076923,+69.23%,1.364834081018151,1.36,143,exit_open_worse_0p5pct,Sell fills 0.5% worse than open,exit_open_worse_0p5pct,Sell fills 0.5% worse than open,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,,,,0.005
entry_exit_open_worse_0p5pct,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,1949938.8775825696,193.99388775825696,+19399.39%,12.682212146110261,+1268.22%,181.3116756121467,+18131.17%,0.39786784977371226,+39.79%,-0.5840287297792186,-58.40%,0.9481250313961137,0.95,0.681247050849911,0.68,0.6619718309859155,+66.20%,1.3907942367079908,1.39,142,entry_exit_open_worse_0p5pct,Buy and sell fills 0.5% worse than open,entry_exit_open_worse_0p5pct,Buy and sell fills 0.5% worse than open,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,,,0.005,0.005
execution_full_stress,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,29659.946076701104,1.9659946076701105,+196.60%,12.682212146110261,+1268.22%,-10.716217538440151,-1071.62%,0.07150223745617978,+7.15%,-0.5094749516305546,-50.95%,0.4006505867182024,0.40,0.14034495165530647,0.14,0.5147058823529411,+51.47%,1.8402006829525228,1.84,68,execution_full_stress,One-day buy/sell delay and 0.5% worse open fills,execution_full_stress,One-day buy/sell delay and 0.5% worse open fills,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,,1.0,1.0,0.005,0.005
cost_2x_execution_full_stress,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,23776.383359401392,1.3776383359401394,+137.76%,12.682212146110261,+1268.22%,-11.304573810170123,-1130.46%,0.05655822453119974,+5.66%,-0.5336500278485334,-53.37%,0.3438030876278862,0.34,0.10598373761774212,0.11,0.5,+50.00%,1.8295836188841739,1.83,68,cost_2x_execution_full_stress,2x costs plus full execution stress,cost_2x_execution_full_stress,2x costs plus full execution stress,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,2.0,1.0,1.0,0.005,0.005
cost_3x_execution_full_stress,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,21091.60253057745,1.1091602530577451,+110.92%,12.682212146110261,+1268.22%,-11.573051893052517,-1157.31%,0.048547246436055236,+4.85%,-0.5572823471345512,-55.73%,0.3132186123535509,0.31,0.08711427283795499,0.09,0.5074626865671642,+50.75%,1.7242986973191123,1.72,67,cost_3x_execution_full_stress,3x costs plus full execution stress,cost_3x_execution_full_stress,3x costs plus full execution stress,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0,3.0,1.0,1.0,0.005,0.005
