label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,fold,validation_start,validation_end,train_segments,purge_days,embargo_days,objective,train_objective_value,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier
purged_cv_fold_01_validation,2010-10-19 00:00:00,2010-12-31 00:00:00,10000.0,10064.702120928237,0.006470212092823724,+0.65%,0.07162533277266347,+7.16%,-0.06515512067983975,-6.52%,0.03279522532654289,+3.28%,-0.10028353979777271,-10.03%,0.2535843209055431,0.25,0.3270250072212874,0.33,0.5,+50.00%,1.1859700923415226,1.19,2,1,2010-01-01,2010-12-31,"[[""2011-01-21"", ""2026-12-31""]]",200,20,total_return,895.6602662417446,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_02_validation,2011-01-03 00:00:00,2011-12-30 00:00:00,10000.0,7234.057386843618,-0.27659426131563825,-27.66%,0.009401562915432926,+0.94%,-0.28599582423107117,-28.60%,-0.2793465435309922,-27.93%,-0.35557848748449594,-35.56%,-1.0200295880444321,-1.02,-0.7856114848431948,-0.79,0.5,+50.00%,0.35797385404868687,0.36,6,2,2011-01-01,2011-12-31,"[[""2010-01-01"", ""2010-06-14""], [""2012-01-21"", ""2026-12-31""]]",200,20,total_return,1143.1940136161345,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
purged_cv_fold_03_validation,2012-01-03 00:00:00,2012-12-31 00:00:00,10000.0,9120.524145916906,-0.08794758540830938,-8.79%,0.144639639838954,+14.46%,-0.23258722524726338,-23.26%,-0.0884678598233718,-8.85%,-0.293970484064604,-29.40%,-0.1689348144650108,-0.17,-0.3009413006372768,-0.30,0.45454545454545453,+45.45%,1.0337079744293107,1.03,11,3,2012-01-01,2012-12-31,"[[""2010-01-01"", ""2011-06-14""], [""2013-01-21"", ""2026-12-31""]]",200,20,total_return,1045.6969875858097,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_04_validation,2013-01-02 00:00:00,2013-12-31 00:00:00,10000.0,19937.238320074233,0.9937238320074233,+99.37%,0.30892861724710996,+30.89%,0.6847952147603134,+68.48%,1.0022690205357763,+100.23%,-0.24482917064939502,-24.48%,1.886593290709234,1.89,4.093748379236495,4.09,0.6363636363636364,+63.64%,2.579102551786857,2.58,11,4,2013-01-01,2013-12-31,"[[""2010-01-01"", ""2012-06-14""], [""2014-01-21"", ""2026-12-31""]]",200,20,total_return,481.3637288956253,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,1.5,1,10,3.0
purged_cv_fold_05_validation,2014-01-02 00:00:00,2014-12-31 00:00:00,10000.0,9116.046609484667,-0.0883953390515333,-8.84%,0.18310993436027823,+18.31%,-0.2715052734118115,-27.15%,-0.08891813111255809,-8.89%,-0.3358467345218742,-33.58%,-0.13480085711974824,-0.13,-0.26475806364217225,-0.26,0.5,+50.00%,0.914092669505463,0.91,12,5,2014-01-01,2014-12-31,"[[""2010-01-01"", ""2013-06-14""], [""2015-01-21"", ""2026-12-31""]]",200,20,total_return,779.9979522793202,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_06_validation,2015-01-02 00:00:00,2015-12-31 00:00:00,10000.0,17511.183051429467,0.7511183051429466,+75.11%,0.08665239904207889,+8.67%,0.6644659061008678,+66.45%,0.757209901510747,+75.72%,-0.23380500856572528,-23.38%,1.8370361559049058,1.84,3.2386384969075053,3.24,0.8571428571428571,+85.71%,4.495799783031291,4.50,7,6,2015-01-01,2015-12-31,"[[""2010-01-01"", ""2014-06-14""], [""2016-01-21"", ""2026-12-31""]]",200,20,total_return,758.2002244617411,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,2.0,1,10,3.0
purged_cv_fold_07_validation,2016-01-04 00:00:00,2016-12-30 00:00:00,10000.0,32548.881294787785,2.2548881294787786,+225.49%,0.08200916307701922,+8.20%,2.1728789664017594,+217.29%,2.3004265972525104,+230.04%,-0.09140364914436594,-9.14%,2.9463196068818323,2.95,25.167776328263884,25.17,1.0,+100.00%,inf,inf,1,7,2016-01-01,2016-12-31,"[[""2010-01-01"", ""2015-06-14""], [""2017-01-21"", ""2026-12-31""]]",200,20,total_return,214.12549313607838,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_08_validation,2017-01-03 00:00:00,2017-12-29 00:00:00,10000.0,10864.912625876286,0.08649126258762863,+8.65%,0.3029947575197307,+30.30%,-0.21650349493210208,-21.65%,0.08780642795112636,+8.78%,-0.23423445703135093,-23.42%,0.42327098261118995,0.42,0.3748655473834662,0.37,0.5833333333333334,+58.33%,0.9748571486938113,0.97,12,8,2017-01-01,2017-12-31,"[[""2010-01-01"", ""2016-06-14""], [""2018-01-21"", ""2026-12-31""]]",200,20,total_return,366.1480424177989,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
purged_cv_fold_09_validation,2018-01-02 00:00:00,2018-12-31 00:00:00,10000.0,5815.417483396386,-0.41845825166036144,-41.85%,-0.02668944942721052,-2.67%,-0.3917688022331509,-39.18%,-0.4204089260328955,-42.04%,-0.4574630501741773,-45.75%,-1.6353649485895494,-1.64,-0.9190008370573894,-0.92,0.6,+60.00%,0.17796264626917893,0.18,10,9,2018-01-01,2018-12-31,"[[""2010-01-01"", ""2017-06-14""], [""2019-01-21"", ""2026-12-31""]]",200,20,total_return,1955.3258586686504,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_10_validation,2019-01-02 00:00:00,2019-12-31 00:00:00,10000.0,13690.181123404096,0.3690181123404097,+36.90%,0.37274014661362864,+37.27%,-0.0037220342732189327,-0.37%,0.3716859981852887,+37.17%,-0.25170243371360757,-25.17%,0.982790722022458,0.98,1.4766881380582955,1.48,0.8181818181818182,+81.82%,0.8063742172451479,0.81,11,10,2019-01-01,2019-12-31,"[[""2010-01-01"", ""2018-06-14""], [""2020-01-21"", ""2026-12-31""]]",200,20,total_return,784.8961396283642,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_11_validation,2020-01-02 00:00:00,2020-12-31 00:00:00,10000.0,78416.04509009526,6.841604509009525,+684.16%,0.4514248006990129,+45.14%,6.390179708310512,+639.02%,6.897258981094615,+689.73%,-0.3329001966333447,-33.29%,2.964452766399233,2.96,20.71869903006166,20.72,0.875,+87.50%,1.5950333216220245,1.60,16,11,2020-01-01,2020-12-31,"[[""2010-01-01"", ""2019-06-14""], [""2021-01-21"", ""2026-12-31""]]",200,20,total_return,87.48605182516096,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,2.0,1,10,3.0
purged_cv_fold_12_validation,2021-01-04 00:00:00,2021-12-31 00:00:00,10000.0,8654.235771595142,-0.13457642284048577,-13.46%,0.28625007029767735,+28.63%,-0.4208264931381631,-42.08%,-0.13604777848366023,-13.60%,-0.41404206696204915,-41.40%,1.9459035332261454e-05,0.00,-0.3285844346249249,-0.33,0.5555555555555556,+55.56%,0.7324232022685823,0.73,9,12,2021-01-01,2021-12-31,"[[""2010-01-01"", ""2020-06-14""], [""2022-01-21"", ""2026-12-31""]]",200,20,total_return,245.69631475984488,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_13_validation,2022-01-03 00:00:00,2022-12-30 00:00:00,10000.0,14039.002765759633,0.4039002765759634,+40.39%,-0.3370842371175141,-33.71%,0.7409845136934775,+74.10%,0.40951865373023955,+40.95%,-0.11504431305836782,-11.50%,1.317420315736248,1.32,3.5596601243772037,3.56,1.0,+100.00%,inf,inf,7,13,2022-01-01,2022-12-31,"[[""2010-01-01"", ""2021-06-14""], [""2023-01-21"", ""2026-12-31""]]",200,20,total_return,464.9162732075565,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_14_validation,2023-01-03 00:00:00,2023-12-29 00:00:00,10000.0,12941.910713366842,0.2941910713366842,+29.42%,0.5483967483457242,+54.84%,-0.25420567700903995,-25.42%,0.29906747464470906,+29.91%,-0.30687076825527515,-30.69%,0.8305389544894599,0.83,0.9745714013265845,0.97,0.6666666666666666,+66.67%,1.1172387107223727,1.12,12,14,2023-01-01,2023-12-31,"[[""2010-01-01"", ""2022-06-14""], [""2024-01-21"", ""2026-12-31""]]",200,20,total_return,610.6847907576985,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
purged_cv_fold_15_validation,2024-01-02 00:00:00,2024-12-31 00:00:00,10000.0,11745.08772409626,0.17450877240962592,+17.45%,0.2698527425834416,+26.99%,-0.09534397017381568,-9.53%,0.17515771442722095,+17.52%,-0.43899989391513705,-43.90%,0.5722133091657506,0.57,0.3989926121965775,0.40,0.5833333333333334,+58.33%,1.0664398415325793,1.07,12,15,2024-01-01,2024-12-31,"[[""2010-01-01"", ""2023-06-14""], [""2025-01-21"", ""2026-12-31""]]",200,20,total_return,937.1249781438158,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
purged_cv_fold_16_validation,2025-01-02 00:00:00,2025-12-31 00:00:00,10000.0,18946.86305429817,0.8946863054298171,+89.47%,0.20398640677969548,+20.40%,0.6906998986501216,+69.07%,0.9022061818277007,+90.22%,-0.3888106624840907,-38.88%,1.3607743276453734,1.36,2.320425515245784,2.32,0.9,+90.00%,0.6881557482823738,0.69,10,16,2025-01-01,2025-12-31,"[[""2010-01-01"", ""2024-06-14""], [""2026-01-21"", ""2026-12-31""]]",200,20,total_return,570.6368511039445,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
purged_cv_fold_17_validation,2026-01-02 00:00:00,2026-07-17 00:00:00,10000.0,22356.908231163507,1.2356908231163506,+123.57%,0.13408471853367487,+13.41%,1.1016061045826757,+110.16%,3.4785344173332753,+347.85%,-0.20182154539039,-20.18%,2.506906523959389,2.51,17.235694091057685,17.24,1.0,+100.00%,inf,inf,2,17,2026-01-01,2026-12-31,"[[""2010-01-01"", ""2025-06-14""]]",200,20,total_return,301.41365093960025,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
